Batsman,Bowler,0s_prob,1s_prob,2s_prob,3s_prob,4s_prob,5s_prob,6s_prob,outs_prob,extras_prob
GR Napier,AB McDonald,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
GR Napier,A Flintoff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,A Symonds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Angelo Davis Mathews,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,A Kumble,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2
GR Napier,AA Chavan,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GR Napier,Ankit Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.25
GR Napier,AS Rajpoot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,AUK Pathan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,A Nehra,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
GR Napier,AA Noffke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,AB Dinda,0.2,0.2,0.2,0.0,0.2,0.0,0.2,0.0,0.0
GR Napier,AL Menaria,0.25,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0
GR Napier,Azhar Mahmood,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
GR Napier,B Akhil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BAW Mendis,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BMAJ Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BB Sran,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.2
GR Napier,BJ Rohrer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,B Laughlin,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
GR Napier,BR Dunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BCJ Cutting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Benjamin William Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BE Hendricks,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
GR Napier,B Chipli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BA Bhatt,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
GR Napier,B Kumar,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GR Napier,BB Samantray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Bipul Sharma,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
GR Napier,B Sumanth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,BJ Hodge,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Brett Geeves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,B Lee,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
GR Napier,CL White,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
GR Napier,CR Brathwaite,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
GR Napier,CK Kapugedera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Chandrasekharan Ganapathy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,CK Langeveldt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,C Nanda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,CA Lynn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,CH Gayle,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.0
GR Napier,CH Morris,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
GR Napier,CJ Jordan,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
GR Napier,CJ McKay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,CA Ingram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,C Munro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,CJ Anderson,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
GR Napier,DW Steyn,0.3,0.2,0.1,0.0,0.1,0.0,0.1,0.1,0.1
GR Napier,DJ Harris,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DL Vettori,0.25,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0
GR Napier,DT Christian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GR Napier,DJG Sammy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
GR Napier,DS Lehmann,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DA Miller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DA Warner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DJ Jacobs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DJ Hussey,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,D Wiese,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
GR Napier,DJ Hooda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Deepak Lokandersingh Chahar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DNT Zoysa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DPMD Jayawardene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DB Ravi Teja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DS Kulkarni,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
GR Napier,D du Preez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,D Salunkhe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DP Nannes,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
GR Napier,D Kalyankrishna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DJ Thornely,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DJ Muthuswami,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DAJ Bracewell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,DE Bollinger,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
GR Napier,DJ Bravo,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
GR Napier,DR Smith,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
GR Napier,FY Fazal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,F Behardien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,FH Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,F du Plessis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,GH Vihari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Gagandeep Singh Toor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,GB Hogg,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
GR Napier,GJ Bailey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,GD McGrath,0.2,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.2
GR Napier,GJ Maxwell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,GC Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Gurinder Singh Sandhu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Gurkeerat Singh,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
GR Napier,Harbhajan Singh,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GR Napier,HH Pandya,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0
GR Napier,Harmeet Singh Baddhan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Harmeet Singh,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
GR Napier,Harpreet Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,HV Patel,0.25,0.125,0.125,0.0,0.125,0.0,0.125,0.125,0.125
GR Napier,HM Amla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,IK Pathan,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
GR Napier,I Malhotra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,IR Jaggi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,I Sharma,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.14285714285714285
GR Napier,IC Pandey,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
GR Napier,Ishwar Haribhai Chaudhary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,JDP Oram,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
GR Napier,JH Kallis,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
GR Napier,J Suchith,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
GR Napier,Jagrit Anand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Jalaj Sahay Saxena,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,J Syed Mohammad,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
GR Napier,JDS Neesham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,JEC Franklin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,JP Faulkner,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111
GR Napier,JR Hopes,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Jaskaran Singh,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0
GR Napier,JO Holder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,JJ Bumrah,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GR Napier,J Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,JD Unadkat,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
GR Napier,JP Duminy,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
GR Napier,JE Taylor,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
GR Napier,JD Ryder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Joginder Sharma,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2
GR Napier,J Botha,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GR Napier,JA Morkel,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
GR Napier,JJ van der Wath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,John Wayne Hastings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,J Theron,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.16666666666666666
GR Napier,JM Kemp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Kamran Khan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KS Williamson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KW Richardson,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.0
GR Napier,K Goel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Karanveer Singh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KV Sharma,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0
GR Napier,KK Nair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Anureet Singh,0.125,0.25,0.125,0.0,0.125,0.0,0.125,0.125,0.125
GR Napier,KM Jadhav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KAJ Roach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KP Pietersen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KK Cooper,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
GR Napier,Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KA Pollard,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.2
GR Napier,KB Arun Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KC Cariappa,0.25,0.25,0.0,0.25,0.0,0.0,0.25,0.0,0.0
GR Napier,KP Appanna,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
GR Napier,KD Karthik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Krishmar Santokie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,K Upadhyay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,KH Pandya,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
GR Napier,KMDN Kulasekara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,Kuldeep Yadav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
GR Napier,KJ Abbott,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,L Balaji,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
GR Napier,LR Shukla,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
GR Napier,LA Carseldine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,LMP Simmons,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,LPC Silva,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
GR Napier,L Ablish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR Napier,LJ Wright,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
